URL Page,users,uniquePageviews,pageviews,Brand,Posted On (DD/MM/YYYY),Month,Product
/2020/5/lilBvideo0.802594130562682,464.8,472.4,496.8,"Li,}z)L&2nEP2(E",02:48.0,5,lilBvideo0.802594130562682
/2020/5/lil\-show0.104315346430724,1477.6,1538.6,1698.6,Lif{`7C#WQ2%bI.h,51:03.0,5,lil\-show0.104315346430724
/2020/5/lilEtream0.802891776446549,1714.4,1775.6,1947.4,Al_w1b7Rgo1[d5(t,09:41.0,5,lilEtream0.802891776446549
/2020/5/lilgoat-30.0998394724221762,367.2,379.6,398,Lii4tS%~AUJ1})d',18:23.0,5,lilgoat-30.0998394724221762
/2020/5/litlad-870.598302034838417,701,714.6,751.8,Li=c|kAb~[OUZ0'M,40:03.0,5,litlad-870.598302034838417
/2020/5/litCtream0.697844269340775,222.6,230.2,244.6,Li7jHFlUM5Tf~~xk,24:48.0,5,litCtream0.697844269340775
/2020/5/livfumber0.562187521825209,44.2,45,50.4,LiqrXaLa6hM5B96D,16:48.0,5,livfumber0.562187521825209
/2020/5/lloytream0.886828338017346,901.4,926.8,983,LlDY_Me!p.F_FRFD,31:50.0,5,lloytream0.886828338017346
/2020/5/llo_tream0.98488896199158,587.2,604.2,641.6,LlQ|e%1R4{BGMj-K,27:16.0,5,llo_tream0.98488896199158
/2020/5/loeRlease0.315354857111125,472,480.4,513.6,"Ac8IJsKH,4xtY.Tk",51:36.0,5,loeRlease0.315354857111125
/2020/5/loeH-info0.522842472345847,319,328.2,363.4,"Ac8IJsKH,4xtY.Tk",24:49.0,5,loeH-info0.522842472345847
/2020/5/louteware0.0565828545344595,578.8,596,650.8,"Fo7kko'6z""5EpvSo",32:10.0,5,louteware0.0565828545344595
/2020/5/louRtable0.551638677792949,1412,1446.8,1595,"LohrM;d_a]D,.iJ.",24:09.0,5,louRtable0.551638677792949
/2020/5/loud-info0.787649407021514,208,211,227.4,Lo`oaX!JFEv=Gucq,44:54.0,5,loud-info0.787649407021514
/2020/5/louDrkers0.398006861730999,617.8,622.6,649.2,Lo`oaX!JFEv=Gucq,07:37.0,5,louDrkers0.398006861730999
